dataset_id,y_true,y_pred
0390,3.3475,3.4730281829833984
0390,2.2584,5.184642314910889
0390,5.1213,5.66685676574707
0390,1.8084,3.790801525115967
0390,2.2378,2.212101936340332
0390,3.4158,4.657510280609131
0390,3.6997,5.850630283355713
0390,1.9541,2.787632942199707
0390,3.1039,4.455576419830322
0390,2.3936,2.594740152359009
0390,3.4204,4.297632694244385
0390,3.4235,3.0030343532562256
0390,3.7971,4.656241416931152
0390,1.765,1.968504786491394
0390,3.7728,5.026061058044434
0390,1.7817,2.6505749225616455
0390,2.9427,3.6894991397857666
0390,1.2363,2.4593842029571533
0390,1.9136,2.5195937156677246
0390,2.1008,3.088073968887329
0390,2.2456,2.9707016944885254
0390,2.4483,3.518639326095581
0390,3.4694,4.088859558105469
0390,3.8506,5.681921482086182
0390,3.8895,6.546530723571777
0390,3.8123,3.3919990062713623
0390,1.84,3.4135944843292236
0390,3.5196,4.013909816741943
0390,0.7405,1.5020869970321655
0390,1.8976,2.637636423110962
0390,2.336,3.6911208629608154
0390,2.3454,4.066287994384766
0390,1.7117,2.4347753524780273
0390,2.009,2.8691720962524414
0390,2.6624,3.776468276977539
0390,3.6243,4.971597671508789
0390,1.6654,2.6640026569366455
0390,1.8136,2.961487293243408
0390,1.861,2.5119338035583496
0390,2.4025,4.693345069885254
0390,3.4789,4.723235607147217
0390,1.0832,2.876312017440796
0390,2.2761,3.7838873863220215
0390,2.1755,3.6185245513916016
0390,1.6625,3.0505740642547607
0390,2.4517,2.508211851119995
0390,1.5917,2.172060966491699
0390,1.8094,2.3924150466918945
0390,1.9621,2.3583505153656006
0390,3.806,5.540173053741455
0390,2.0558,2.485098361968994
0390,2.1175,2.4532971382141113
0390,2.6658,3.024339437484741
0390,2.7759,3.6654951572418213
0390,4.5101,7.329099178314209
0390,1.875,2.5272748470306396
0390,4.4313,5.615502834320068
0390,1.4876,2.1539158821105957
0390,1.831,2.864107370376587
0390,2.7093,3.662806749343872
0390,4.2573,4.570993900299072
0390,2.9304,3.5169031620025635
0390,3.1094,5.685380458831787
0390,3.3238,5.6448540687561035
0390,4.0113,4.392526149749756
0390,4.5153,5.821579933166504
0390,1.1164,1.908150553703308
0390,1.7413,2.4242665767669678
0390,1.9891,3.8379099369049072
0390,5.5095,6.536165237426758
0390,1.3892,2.9521408081054688
0390,1.5388,3.1036572456359863
0390,1.8468,2.5328776836395264
0390,2.0694,2.571167469024658
0390,3.4487,5.160092353820801
0390,3.6863,5.523885250091553
0390,1.8055,2.1991589069366455
0390,2.4293,2.578705072402954
0390,2.4293,2.6727659702301025
0390,2.7327,3.427807331085205
0390,2.9325,4.235119342803955
0390,3.2132,4.410006999969482
0390,1.4327,2.403496265411377
0390,1.851,4.02595329284668
0390,2.0337,3.506783962249756
0390,2.1399,2.567168712615967
0390,1.4361,6.839937210083008
0390,2.8852,3.1935126781463623
